date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
98年 9月,2361,1304,1042,1661,974,2157,159,329,293,471,234,371,148,379,107,202,3,131,246,187,5,－
98年 10月,2333,1319,1038,1698,1015,2445,143,343,273,366,311,251,172,394,65,199,9,160,224,157,7,－
98年 11月,2231,1383,895,1690,972,2377,146,291,249,479,260,294,151,347,20,157,3,155,285,152,8,2
98年 12月,2189,1422,847,1499,1073,2293,179,201,179,410,207,225,163,406,23,162,4,145,290,186,6,－
99年 1月,1920,1353,774,1454,1027,2232,133,193,275,379,185,250,169,372,42,146,6,157,195,165,4,1
99年 2月,2089,1162,1585,1951,1075,2359,246,311,487,793,266,369,241,719,70,264,24,227,346,186,14,1
99年 3月,1855,1251,866,1479,1114,2592,163,260,286,449,254,288,173,555,64,216,22,154,243,174,6,－
99年 4月,1819,1323,888,1467,1001,2295,137,321,221,549,227,291,208,465,47,190,3,140,248,165,7,－
99年 5月,2027,1198,924,1514,1073,2605,168,298,237,575,260,259,145,450,71,201,11,124,277,151,2,1
99年 6月,1828,1120,848,1235,919,2357,180,201,242,510,257,201,125,362,72,173,10,123,220,153,12,1
99年 7月,1933,1257,930,1341,1000,2292,178,238,233,470,246,254,134,378,63,172,18,134,196,122,14,2
99年 8月,1976,1209,931,1245,1093,2488,151,255,242,514,175,251,161,325,54,205,23,149,203,155,4,3
99年 9月,1954,1154,942,1321,1049,2492,167,250,223,422,229,259,139,328,58,227,20,112,223,132,8,2
99年 10月,1789,1098,916,1313,963,2652,146,268,222,513,239,268,109,359,40,205,20,108,227,122,8,2
99年 11月,1683,1050,906,1438,783,2443,96,161,187,408,242,205,118,290,42,173,12,73,229,106,4,2
99年 12月,1503,1083,701,1300,914,2297,136,176,167,314,201,228,143,334,31,180,11,109,189,114,11,2
100年 1月,1920,1113,1135,1620,1007,2569,224,350,498,405,213,199,142,381,54,159,16,114,316,119,8,1
100年 2月,1536,881,1190,1289,797,2306,138,254,185,413,235,194,153,422,81,233,18,145,214,109,7,－
100年 3月,1500,876,679,1256,838,2384,103,191,184,314,196,204,137,285,30,141,14,96,144,121,2,－
100年 4月,1516,930,803,1176,834,2199,109,243,217,278,206,217,160,348,35,161,16,123,155,114,8,2
