date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
103年 9月,30,35,10,39,26,35,8,9,10,13,8,10,7,22,13,8,－,12,9,3,－,－
103年 10月,57,30,17,35,29,23,7,11,6,18,9,12,10,15,13,8,－,13,13,3,1,1
103年 11月,64,31,8,36,24,21,12,10,18,15,9,9,6,10,8,12,1,9,12,8,1,－
103年 12月,47,36,8,45,30,27,11,5,6,16,10,10,6,21,7,17,－,13,6,5,－,－
104年 1月,42,26,11,32,20,26,6,15,15,12,13,4,9,24,4,14,1,6,10,3,1,－
104年 2月,34,14,14,30,14,18,6,5,5,11,6,7,3,5,4,6,2,3,3,5,1,－
104年 3月,58,32,10,33,25,13,4,2,11,25,6,11,4,12,2,15,3,6,8,3,－,－
104年 4月,40,29,8,40,24,30,8,11,7,22,4,6,5,20,8,17,2,8,12,2,1,－
104年 5月,61,36,9,42,21,19,10,15,11,21,12,8,7,12,9,16,1,14,17,7,1,－
104年 6月,46,38,8,52,17,26,7,9,15,15,10,12,8,10,8,8,2,8,11,7,－,1
104年 7月,41,29,7,46,23,26,9,9,12,21,10,10,12,19,5,11,－,14,10,7,1,－
104年 8月,58,31,12,34,26,23,8,6,12,15,8,7,7,6,7,9,－,10,13,6,－,－
104年 9月,44,31,10,54,18,38,5,15,9,19,9,4,4,13,7,11,2,6,15,7,2,－
104年 10月,62,34,16,40,19,35,12,10,13,13,10,6,4,17,8,11,－,11,8,3,1,－
104年 11月,53,24,17,45,15,30,8,5,9,19,11,9,8,12,8,13,－,13,14,3,1,－
104年 12月,49,25,5,51,23,31,5,9,9,14,7,6,10,7,3,15,1,7,19,3,－,－
105年 1月,49,28,10,45,17,27,8,7,13,15,8,6,3,16,8,9,－,10,6,2,1,－
105年 2月,29,21,7,32,12,17,－,11,6,15,5,3,4,6,7,11,－,7,8,2,－,－
105年 3月,54,25,13,47,19,28,11,12,6,23,6,8,7,19,10,14,1,13,11,3,－,－
105年 4月,47,24,7,44,18,24,4,16,7,21,8,8,2,18,12,7,－,9,11,4,3,－
105年 5月,69,35,19,63,21,38,11,7,16,24,8,10,7,12,2,17,－,5,12,7,1,－
105年 6月,44,21,14,43,28,27,7,16,13,27,5,4,6,19,12,13,1,6,8,4,1,－
105年 7月,38,30,14,67,20,29,12,6,10,18,6,11,9,19,4,9,－,6,9,6,1,－
105年 8月,53,29,14,44,21,32,9,9,14,17,2,3,7,12,7,10,1,8,9,4,2,－
105年 9月,39,38,5,44,21,22,3,6,12,22,7,6,3,7,5,14,－,11,8,6,1,－
105年 10月,60,27,5,46,15,24,9,11,6,17,8,9,5,11,4,10,1,11,8,－,2,－
105年 11月,42,29,6,52,23,30,6,16,7,19,6,8,6,20,5,10,3,14,8,5,－,－
105年 12月,46,34,5,33,25,34,8,14,9,13,7,7,9,9,10,15,2,16,6,－,1,－
106年 1月,36,34,3,29,18,23,7,4,8,15,4,7,7,10,6,8,1,7,9,3,2,－
106年 2月,35,29,5,39,17,24,8,9,13,10,7,8,3,9,4,6,1,2,13,4,－,－
106年 3月,46,35,10,45,18,26,10,11,5,18,8,7,4,12,7,13,－,4,11,5,3,－
106年 4月,55,22,9,46,21,30,3,16,6,20,9,8,9,14,10,8,－,7,10,3,1,－
106年 5月,37,21,11,51,24,26,6,9,4,14,8,8,13,11,7,7,－,6,11,3,2,－
106年 6月,47,21,4,29,20,30,10,11,9,15,12,10,5,16,7,6,2,5,7,3,1,－
106年 7月,60,23,12,40,19,30,11,8,11,19,5,7,3,13,7,10,－,5,5,3,－,－
106年 8月,57,41,7,49,25,29,13,7,9,14,7,12,7,14,3,9,2,11,8,6,1,－
106年 9月,47,20,8,36,18,19,8,13,3,6,8,11,8,11,5,5,3,8,7,11,2,－
106年 10月,51,28,10,43,13,25,8,9,10,14,9,6,6,9,2,8,－,6,12,3,1,－
106年 11月,43,23,14,42,22,24,7,8,2,12,10,15,6,15,5,5,1,10,12,1,2,－
106年 12月,46,32,10,40,24,26,7,4,5,14,8,7,3,7,14,8,2,2,10,3,1,－
107年 1月,39,34,14,28,23,26,11,3,8,16,6,6,10,8,5,16,1,7,8,2,3,－
107年 2月,41,20,9,39,12,19,2,1,4,12,10,4,2,11,4,6,－,3,3,3,－,－
107年 3月,60,29,6,43,19,29,5,12,3,11,8,4,1,11,5,9,－,7,12,5,2,－
107年 4月,48,28,4,44,16,23,3,16,2,16,6,12,4,15,7,8,3,2,8,1,2,－
107年 5月,58,23,8,42,29,26,11,14,8,15,8,9,7,15,4,17,－,5,6,3,－,－
107年 6月,38,25,5,27,17,23,6,6,5,24,5,9,4,16,4,10,－,4,11,5,－,－
107年 7月,51,42,8,37,29,28,11,10,2,22,5,10,8,9,5,10,2,7,6,4,－,－
107年 8月,48,39,9,30,14,18,6,8,8,15,9,8,7,10,2,13,－,8,6,4,－,－
107年 9月,49,26,8,34,21,30,6,8,3,13,13,5,5,11,5,8,－,6,9,4,2,－
107年 10月,62,35,8,41,11,29,12,9,8,27,12,1,9,6,5,9,1,6,5,1,－,－
107年 11月,45,20,3,28,24,22,6,7,2,26,7,8,3,14,5,10,6,10,7,2,1,－
107年 12月,45,32,2,31,24,36,8,20,2,15,11,5,6,11,10,7,1,5,13,4,－,－
108年 1月,50,32,1,36,29,35,9,10,3,14,11,8,6,19,5,14,2,4,10,4,2,－
108年 2月,41,34,1,28,14,26,4,4,1,21,4,8,1,8,6,6,1,4,4,3,－,－
108年 3月,51,22,6,43,24,30,13,6,3,18,14,7,4,12,4,11,1,6,8,5,1,－
108年 4月,53,29,4,31,20,37,6,13,1,20,6,7,7,14,4,10,4,5,11,6,3,－
108年 5月,52,38,3,52,25,32,12,5,－,24,10,11,8,4,3,16,3,5,9,7,3,－
108年 6月,44,27,6,47,12,21,7,9,－,15,10,5,4,9,5,8,1,12,14,6,2,－
108年 7月,57,40,3,45,26,32,9,11,2,14,8,10,11,10,2,12,4,8,16,4,2,－
108年 8月,47,36,9,43,21,24,12,10,－,32,7,6,8,8,－,3,1,6,6,6,2,－
108年 9月,45,42,2,43,14,28,10,13,－,15,10,12,4,8,6,6,1,8,7,3,2,－
108年 10月,41,38,6,28,32,28,8,10,－,20,7,11,6,8,2,7,3,12,17,2,2,－
108年 11月,35,26,6,32,20,30,8,11,2,4,6,9,8,15,4,11,1,10,9,1,－,－
108年 12月,35,32,10,36,12,26,10,14,1,25,9,2,3,6,3,17,2,3,9,4,2,－
109年 1月,31,35,8,33,21,26,7,8,－,11,4,9,5,11,2,7,1,3,7,3,1,－
109年 2月,32,21,3,37,13,23,11,11,－,22,5,3,4,9,4,13,2,8,8,3,1,－
109年 3月,44,30,8,37,27,29,13,11,2,19,12,6,12,16,5,7,5,7,14,6,－,－
109年 4月,49,37,13,37,30,28,6,8,1,16,15,11,10,7,12,9,2,4,13,5,－,－
109年 5月,53,42,7,46,23,31,11,3,3,21,4,12,10,2,3,8,2,9,10,6,－,－
109年 6月,52,46,8,31,21,21,17,9,3,23,13,9,11,7,10,12,－,8,10,1,－,－
109年 7月,47,52,9,47,15,27,7,21,1,20,7,16,7,11,5,13,1,11,8,2,－,－
109年 8月,39,34,2,41,23,22,13,5,3,15,5,9,3,16,2,14,－,9,16,3,－,－
109年 9月,37,35,5,23,17,40,7,18,7,23,6,6,9,17,3,8,3,3,15,3,2,－
