date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
111年 2月,173,143,248,365,389,204,112,63,65,217,95,78,83,192,67,83,6,26,61,40,7,1
111年 3月,206,258,391,506,534,272,148,80,54,301,106,127,96,224,81,91,16,59,57,64,7,1
111年 4月,155,177,347,415,544,182,110,78,57,188,88,105,82,184,38,50,12,28,38,56,5,1
111年 5月,133,108,149,260,344,131,71,62,51,171,62,90,69,129,25,35,9,25,34,49,7,1
111年 6月,173,184,322,257,327,169,135,66,73,32,72,100,44,165,24,58,9,21,22,47,6,－
111年 7月,218,312,284,328,455,178,179,80,107,5,100,95,86,139,44,67,22,44,37,77,9,1
111年 8月,231,258,333,361,408,147,160,116,106,9,76,114,74,158,62,69,16,60,63,59,8,2
111年 9月,238,198,315,407,334,170,115,87,96,40,90,85,80,149,33,46,16,40,34,63,9,2
111年 10月,216,248,375,427,466,339,87,81,77,80,101,82,83,131,35,24,20,23,51,59,8,2
111年 11月,211,234,404,374,325,317,53,99,96,238,108,82,47,140,51,45,16,26,71,53,7,－
111年 12月,133,221,285,355,359,495,63,75,65,234,83,76,73,142,36,38,10,20,40,39,9,1
112年 1月,201,244,280,362,322,267,99,67,87,165,71,85,72,142,51,47,20,21,89,53,2,－
112年 2月,199,201,319,314,333,305,125,91,95,200,91,83,74,144,45,71,22,18,53,40,8,1
112年 3月,204,268,142,355,320,250,132,68,107,211,86,105,103,139,66,61,21,25,88,35,10,－
112年 4月,223,350,406,312,372,366,140,44,130,175,89,119,76,124,65,71,18,38,81,37,9,1
112年 5月,207,249,343,263,346,439,127,77,111,190,83,107,80,97,67,74,28,28,51,30,9,1
112年 6月,227,311,190,242,364,284,123,72,106,173,87,119,62,136,38,58,23,21,61,47,5,2
112年 7月,230,394,160,253,256,214,128,73,109,197,72,97,82,134,38,56,24,30,99,47,4,1
112年 8月,213,288,200,293,322,360,117,72,113,139,49,114,82,116,80,77,21,23,85,56,6,－
